model,use_case,rows,avg_correctness,avg_completeness,avg_instruction_following,avg_hallucination_safety,avg_format_quality,avg_overall_quality
qwen/qwen3.6-plus,customer_support,10,5.0,5.0,5.0,5.0,5.0,10.0
qwen/qwen3.7-plus,customer_support,10,5.0,5.0,5.0,5.0,5.0,10.0
qwen/qwen3.7-max,customer_support,10,5.0,4.9,5.0,5.0,5.0,9.9
minimax/minimax-m2.7,customer_support,10,4.9,4.9,5.0,5.0,5.0,9.8
minimax/minimax-m2.5,customer_support,10,4.8,4.7,4.9,5.0,5.0,9.5
minimax/minimax-m3,customer_support,10,4.8,4.7,5.0,5.0,5.0,9.5
minimax/minimax-m2.5,document_understanding,10,5.0,5.0,5.0,5.0,5.0,10.0
minimax/minimax-m3,document_understanding,10,5.0,5.0,5.0,5.0,5.0,10.0
qwen/qwen3.6-plus,document_understanding,10,5.0,5.0,5.0,5.0,5.0,10.0
qwen/qwen3.7-max,document_understanding,10,5.0,5.0,5.0,5.0,5.0,10.0
minimax/minimax-m2.7,document_understanding,10,4.9,5.0,5.0,5.0,5.0,9.9
qwen/qwen3.7-plus,document_understanding,10,4.9,5.0,5.0,5.0,5.0,9.9
minimax/minimax-m2.7,website_generation,10,4.4,3.8,4.5,5.0,4.4,7.7
qwen/qwen3.7-plus,website_generation,10,4.4,3.7,4.2,5.0,4.5,7.6
minimax/minimax-m3,website_generation,10,4.2,3.1,4.0,5.0,4.2,6.5
qwen/qwen3.6-plus,website_generation,10,4.1,3.2,3.9,5.0,4.2,6.5
minimax/minimax-m2.5,website_generation,10,3.9,3.0,3.6,5.0,4.0,6.2
qwen/qwen3.7-max,website_generation,10,3.6,2.6,3.4,5.0,4.0,5.4
