timestamp,model,prompt_id,use_case,difficulty,question,answer,latency_seconds,input_tokens,output_tokens,total_tokens,error
2026-07-08T12:36:29,minimax/minimax-m2.5,website_generation_easy_01,website_generation,easy,"Create a simple responsive HTML and CSS landing page for a cafe with a hero section, opening hours, and contact section.",None,34.568,95,3000,3095,
2026-07-08T12:37:21,minimax/minimax-m2.5,website_generation_easy_02,website_generation,easy,Create a responsive navigation bar using HTML and CSS.,None,51.294,81,3000,3081,
2026-07-08T12:37:38,minimax/minimax-m2.5,website_generation_easy_03,website_generation,easy,Create a simple product card using HTML and CSS.,"<div class=""product-card"">
  <div class=""product-image"">
    <img src=""https://via.placeholder.com/300x200"" alt=""Product Image"">
  </div>
  <div class=""product-details"">
    <h3>Wireless Headphones</h3>
    <span class=""price"">$99.99</span>
    <p class=""description"">High-quality wireless headphones with noise cancellation and 20-hour battery life.</p>
    <button>Add to Cart</button>
  </div>
</div>

<style>
  .product-card {
    width: 300px;
    background: #fff;
    border-radius: 8px;
    box-shadow: 0 4px 6px rgba(0, 0, 0, 0.1);
    overflow: hidden;
    font-family: -apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, Helvetica, Arial, sans-serif;
    transition: transform 0.2s ease, box-shadow 0.2s ease;
  }

  .product-card:hover {
    transform: translateY(-5px);
    box-shadow: 0 10px 20px rgba(0, 0, 0, 0.15);
  }

  .product-image img {
    width: 100%;
    height: 200px;
    object-fit: cover;
    display: block;
  }

  .product-details {
    padding: 20px;
  }

  .product-details h3 {
    margin: 0 0 8px;
    font-size: 18px;
    color: #333;
  }

  .price {
    display: block;
    font-size: 20px;
    font-weight: bold;
    color: #2ecc71;
    margin-bottom: 12px;
  }

  .description {
    font-size: 14px;
    color: #666;
    line-height: 1.5;
    margin: 0 0 20px;
  }

  button {
    width: 100%;
    padding: 12px;
    background-color: #333;
    color: #fff;
    border: none;
    border-radius: 4px;
    font-size: 14px;
    font-weight: 600;
    cursor: pointer;
    transition: background-color 0.2s;
  }

  button:hover {
    background-color: #555;
  }
</style>",17.711,81,1115,1196,
2026-07-08T12:37:55,minimax/minimax-m2.5,website_generation_easy_04,website_generation,easy,Create a basic footer for a restaurant website using HTML and CSS.,"<footer class=""restaurant-footer"">
  <div class=""footer-container"">
    <div class=""footer-section about"">
      <h3>The Savory Spoon</h3>
      <p>Experience the finest local ingredients crafted into unforgettable meals. We look forward to serving you.</p>
    </div>
    
    <div class=""footer-section hours"">
      <h3>Opening Hours</h3>
      <p><span>Mon - Thu:</span> 11:00 AM - 10:00 PM</p>
      <p><span>Fri - Sat:</span> 11:00 AM - 11:00 PM</p>
      <p><span>Sunday:</span> 10:00 AM - 9:00 PM</p>
    </div>
    
    <div class=""footer-section contact"">
      <h3>Contact Us</h3>
      <p>123 Flavor Street, Gourmet City, NY 10012</p>
      <p>(555) 123-4567</p>
      <p>info@savoryspoon.com</p>
    </div>
  </div>
  
  <div class=""footer-bottom"">
    &copy; 2023 The Savory Spoon. All rights reserved.
  </div>
</footer>

<style>
  .restaurant-footer {
    background-color: #1a1a1a;
    color: #f0f0f0;
    padding: 50px 20px 20px;
    font-family: 'Segoe UI', Tahoma, Geneva, Verdana, sans-serif;
  }

  .footer-container {
    display: flex;
    flex-wrap: wrap;
    justify-content: space-between;
    max-width: 1200px;
    margin: 0 auto;
    gap: 40px;
  }

  .footer-section {
    flex: 1;
    min-width: 250px;
  }

  .footer-section h3 {
    color: #e67e22;
    margin-bottom: 20px;
    font-size: 1.4rem;
    text-transform: uppercase;
    letter-spacing: 1px;
  }

  .footer-section p {
    margin-bottom: 10px;
    line-height: 1.6;
    color: #cccccc;
  }

  .footer-section span {
    font-weight: bold;
    color: #ffffff;
  }

  .footer-bottom {
    text-align: center;
    margin-top: 40px;
    padding-top: 20px;
    border-top: 1px solid #333;
    font-size: 0.9rem;
    color: #888;
  }

  @media (max-width: 768px) {
    .footer-container {
      flex-direction: column;
      text-align: center;
    }
  }
</style>",17.093,84,1368,1452,
2026-07-08T12:38:37,minimax/minimax-m2.5,website_generation_easy_05,website_generation,easy,Create a responsive menu section for a cafe website.,"<!DOCTYPE html>
<html lang=""en"">
<head>
    <meta charset=""UTF-8"">
    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
    <title>Cafe Menu</title>
    <style>
        /* --- CSS Variables & Reset --- */
        :root {
            --primary-color: #6F4E37; /* Coffee Brown */
            --secondary-color: #D4A373; /* Latte Beige */
            --bg-color: #FAFAFA;
            --text-color: #333;
            --card-bg: #FFFFFF;
            --transition: all 0.3s ease;
        }

        * {
            margin: 0;
            padding: 0;
            box-sizing: border-box;
            font-family: 'Segoe UI', Tahoma, Geneva, Verdana, sans-serif;
        }

        body {
            background-color: var(--bg-color);
            color: var(--text-color);
            line-height: 1.6;
        }

        /* --- Menu Section --- */
        .menu-section {
            max-width: 1200px;
            margin: 0 auto;
            padding: 4rem 1.5rem;
        }

        .section-header {
            text-align: center;
            margin-bottom: 3rem;
        }

        .section-header h2 {
            font-size: 2.5rem;
            color: var(--primary-color);
            margin-bottom: 1rem;
            text-transform: uppercase;
            letter-spacing: 2px;
        }

        .section-header p {
            color: #666;
            max-width: 600px;
            margin: 0 auto;
        }

        /* --- Filter Buttons --- */
        .filter-container {
            display: flex;
            justify-content: center;
            flex-wrap: wrap;
            gap: 1rem;
            margin-bottom: 2.5rem;
        }

        .filter-btn {
            padding: 0.6rem 1.5rem;
            border: 2px solid var(--primary-color);
            background: transparent;
            color: var(--primary-color);
            font-weight: 600;
            cursor: pointer;
            border-radius: 25px;
            transition: var(--transition);
            font-size: 0.95rem;
        }

        .filter-btn:hover,
        .filter-btn.active {
            background-color: var(--primary-color);
            color: #fff;
        }

        /* --- Menu Grid --- */
        .menu-grid {
            display: grid;
            grid-template-columns: repeat(auto-fill, minmax(300px, 1fr));
            gap: 2rem;
        }

        .menu-item {
            background: var(--card-bg);
            border-radius: 12px;
            overflow: hidden;
            box-shadow: 0 4px 15px rgba(0,0,0,0.05);
            transition: var(--transition);
            display: flex;
            flex-direction: column;
        }

        .menu-item:hover {
            transform: translateY(-5px);
            box-shadow: 0 8px 25px rgba(0,0,0,0.1);
        }

        .item-image {
            height: 200px;
            width: 100%;
            background-color: #eee;
            position: relative;
        }

        .item-image img {
            width: 100%;
            height: 100%;
            object-fit: cover;
        }

        .item-details {
            padding: 1.5rem;
            flex-grow: 1;
            display: flex;
            flex-direction: column;
        }

        .item-header {
            display: flex;
            justify-content: space-between;
            align-items: center;
            margin-bottom: 0.5rem;
        }

        .item-header h3 {
            font-size: 1.25rem;
            color: var(--primary-color);
        }

        .price {
            font-weight: 700;
            color: var(--secondary-color);
            font-size: 1.1rem;
            background: rgba(212, 163, 115, 0.15);
            padding: 0.2rem 0.6rem;
            border-radius: 4px;
        }

        .item-desc {
            color: #666;
            font-size: 0.9rem;
            margin-bottom: 1rem;
        }

        .order-btn {
            margin-top: auto;
            width: 100%;
            padding: 0.8rem;
            background-color: var(--primary-color);
            color: white;
            border: none;
            border-radius: 6px;
            cursor: pointer;
            font-weight: 600;
            transition: var(--transition);
        }

        .order-btn:hover {
            background-color: #5a3e2b;
        }

        /* --- Animation for Filtering --- */
        .menu-item.hide {
            display: none;
        }
        
        .menu-item.show {
            animation: fadeIn 0.5s ease;
        }

        @keyframes fadeIn {
            from { opacity: 0; transform: translateY(10px); }
            to { opacity: 1; transform: translateY(0); }
        }

        /* --- Responsive --- */
        @media (max-width: 600px) {
            .section-header h2 {
                font-size: 2rem;
            }
            .menu-grid {
                grid-template-columns: 1fr;
            }
        }
    </style>
</head>
<body>

    <section class=""menu-section"">
        <div class=""section-header"">
            <h2>Our Special Menu</h2>
            <p>Freshly brewed coffee, delicious pastries, and sweet treats to start your day right.</p>
        </div>

        <!-- Filter Buttons -->
        <div class=""filter-container"">
            <button class=""filter-btn active"" data-filter=""all"">All</button>
            <button class=""filter-btn"" data-filter=""coffee"">Coffee</button>
            <button class=""filter-btn"" data-filter=""tea"">Tea</button>
            <button class=""filter-btn"" data-filter=""pastries"">Pastries</button>
        </div>

        <!-- Menu Items -->
        <div class=""menu-grid"">
            
            <!-- Coffee Item -->
            <div class=""menu-item"" data-category=""coffee"">
                <div class=""item-image"">
                    <img src=""https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?auto=format&fit=crop&w=600&q=80"" alt=""Latte"">
                </div>
                <div class=""item-details"">
                    <div class=""item-header"">
                        <h3>Caramel Latte</h3>
                        <span class=""price"">$4.50</span>
                    </div>
                    <p class=""item-desc"">Espresso with steamed milk and caramel syrup, topped with foam.</p>
                    <button class=""order-btn"">Add to Order</button>
                </div>
            </div>

            <!-- Coffee Item -->
            <div class=""menu-item"" data-category=""coffee"">
                <div class=""item-image"">
                    <img src=""https://images.unsplash.com/photo-1514432324607-a09d9b4aefdd?auto=format&fit=crop&w=600&q=80"" alt=""Espresso"">
                </div>
                <div class=""item-details"">
                    <div class=""item-header"">
                        <h3>Double Espresso</h3>
                        <span class=""price"">$3.00</span>
                    </div>
                    <p class=""item-desc"">Rich and bold espresso shot. Perfect for a quick boost.</p>
                    <button class=""order-btn"">Add to Order</button>
                </div>
            </div>

            <!-- Tea Item -->
            <div class=""menu-item"" data-category=""tea"">
                <div class=""item-image"">
                    <img src=""https://images.unsplash.com/photo-1576092768241-dec231879fc3?auto=format&fit=crop&w=600&q=80"" alt=""Green Tea"">
                </div>
                <div class=""item-details"">
                    <div class=""item-header"">
                        <h3>Matcha Green Tea</h3>
                        <span class=""price"">$4.00</span>
                    </div>
                    <p class=""item-desc"">Premium grade matcha powder whisked with steamed milk.</p>
                    <button class=""order-btn"">Add to Order</button>
                </div>
            </div>

            <!-- Pastries Item -->
            <div class=""menu-item"" data-category=""pastries"">
                <div class=""item-image"">
                    <img src=""https://images.unsplash.com/photo-1555507036-ab1f4038808a?auto=format&fit=crop&w=600&q=80"" alt=""Croissant"">
                </div>
                <div class=""item-details"">
                    <div class=""item-header"">
                        <h3>Butter Croissant</h3>
                        <span class=""price"">$3.50</span>
                    </div>
                    <p class=""item-desc"">Flaky, buttery, and freshly baked daily in our kitchen.</p>
                    <button class=""order-btn"">Add to Order</button>
                </div>
            </div>

            <!-- Pastries Item -->
            <div class=""menu-item"" data-category=""pastries"">
                <div class=""item-image"">
                    <img src=""https://images.unsplash.com/photo-1606313564200-e75d5e30476d?auto=format&fit=crop&w=600&q=80"" alt=""Blueberry Muffin"">
                </div>
                <div class=""item-details"">
                    <div class=""item-header"">
                        <h3>Blueberry Muffin</h3>
                        <span class=""price"">$3.25</span>
                    </div>
                    <p class=""item-desc"">Moist muffin loaded with fresh blueberries and a crumble top.</p>
                    <button class=""order-btn"">Add to Order</button>
                </div>
            </div>

             <!-- Tea Item -->
             <div class=""menu-item"" data-category=""tea"">
                <div class=""item-image"">
                    <img src=""https://images.unsplash.com/photo-1597318181409-c",41.573,81,3000,3081,
2026-07-08T12:39:26,minimax/minimax-m2.5,website_generation_easy_06,website_generation,easy,Create a simple contact form using HTML and CSS.,"<!DOCTYPE html>
<html lang=""en"">
<head>
    <meta charset=""UTF-8"">
    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
    <title>Contact Form</title>
    <style>
        * {
            box-sizing: border-box;
            margin: 0;
            padding: 0;
        }

        body {
            font-family: -apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, Helvetica, Arial, sans-serif;
            background-color: #f0f2f5;
            display: flex;
            justify-content: center;
            align-items: center;
            min-height: 100vh;
            padding: 20px;
        }

        .form-container {
            background-color: #ffffff;
            padding: 40px;
            border-radius: 8px;
            box-shadow: 0 2px 10px rgba(0, 0, 0, 0.1);
            width: 100%;
            max-width: 500px;
        }

        .form-container h2 {
            margin-bottom: 20px;
            color: #333;
            text-align: center;
        }

        .form-group {
            margin-bottom: 20px;
        }

        .form-group label {
            display: block;
            margin-bottom: 8px;
            color: #666;
            font-weight: 500;
        }

        .form-group input,
        .form-group textarea {
            width: 100%;
            padding: 12px;
            border: 1px solid #ddd;
            border-radius: 4px;
            font-size: 16px;
            transition: border-color 0.3s;
        }

        .form-group input:focus,
        .form-group textarea:focus {
            outline: none;
            border-color: #007bff;
        }

        .form-group textarea {
            resize: vertical;
            min-height: 120px;
        }

        button {
            width: 100%;
            padding: 14px;
            background-color: #007bff;
            color: white;
            border: none;
            border-radius: 4px;
            font-size: 16px;
            font-weight: 600;
            cursor: pointer;
            transition: background-color 0.3s;
        }

        button:hover {
            background-color: #0056b3;
        }
    </style>
</head>
<body>

    <div class=""form-container"">
        <form action=""#"" method=""POST"">
            <h2>Contact Us</h2>
            
            <div class=""form-group"">
                <label for=""name"">Name</label>
                <input type=""text"" id=""name"" name=""name"" placeholder=""Your Name"" required>
            </div>

            <div class=""form-group"">
                <label for=""email"">Email</label>
                <input type=""email"" id=""email"" name=""email"" placeholder=""your@email.com"" required>
            </div>

            <div class=""form-group"">
                <label for=""message"">Message</label>
                <textarea id=""message"" name=""message"" placeholder=""Write your message here..."" required></textarea>
            </div>

            <button type=""submit"">Send Message</button>
        </form>
    </div>

</body>
</html>",48.926,81,2344,2425,
2026-07-08T12:39:45,minimax/minimax-m2.5,website_generation_easy_07,website_generation,easy,Create a hero section for a bakery website.,"<header class=""hero-header"">
  <nav class=""navbar"">
    <div class=""logo"">Crust & Crumb</div>
    <ul class=""nav-links"">
      <li><a href=""#"">Home</a></li>
      <li><a href=""#"">Menu</a></li>
      <li><a href=""#"">About</a></li>
      <li><a href=""#"">Contact</a></li>
    </ul>
  </nav>

  <div class=""hero-content"">
    <h1>Freshly Baked, <br>Every Morning</h1>
    <p>Artisan breads, pastries, and cakes made with love and the finest ingredients. Taste the difference passion makes.</p>
    <div class=""hero-buttons"">
      <a href=""#"" class=""btn btn-primary"">Order Online</a>
      <a href=""#"" class=""btn btn-secondary"">View Menu</a>
    </div>
  </div>
</header>

<style>
  /* Reset & Base Styles */
  * {
    margin: 0;
    padding: 0;
    box-sizing: border-box;
  }

  body {
    font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif;
    color: #fff;
  }

  /* Hero Header */
  .hero-header {
    position: relative;
    height: 100vh;
    min-height: 600px;
    display: flex;
    flex-direction: column;
    /* Background Image - Bakery themed */
    background: linear-gradient(rgba(0, 0, 0, 0.5), rgba(0, 0, 0, 0.5)), 
                url('https://images.unsplash.com/photo-1509440159596-0249088772ff?ixlib=rb-4.0.3&auto=format&fit=crop&w=1920&q=80');
    background-size: cover;
    background-position: center;
  }

  /* Navigation */
  .navbar {
    display: flex;
    justify-content: space-between;
    align-items: center;
    padding: 1.5rem 5%;
    width: 100%;
    position: absolute;
    top: 0;
    z-index: 10;
  }

  .logo {
    font-size: 1.8rem;
    font-weight: 700;
    font-family: 'Georgia', serif;
    letter-spacing: 1px;
    color: #f8e1c4; /* Warm cream color */
  }

  .nav-links {
    list-style: none;
    display: flex;
    gap: 2rem;
  }

  .nav-links a {
    text-decoration: none;
    color: #fff;
    font-weight: 500;
    font-size: 1rem;
    transition: color 0.3s ease;
  }

  .nav-links a:hover {
    color: #f8e1c4;
  }

  /* Hero Content */
  .hero-content {
    flex: 1;
    display: flex;
    flex-direction: column;
    justify-content: center;
    align-items: center;
    text-align: center;
    padding: 0 20px;
    max-width: 800px;
    margin: 0 auto;
  }

  .hero-content h1 {
    font-family: 'Georgia', serif;
    font-size: 4rem;
    line-height: 1.1;
    margin-bottom: 1.5rem;
    text-shadow: 2px 2px 4px rgba(0,0,0,0.3);
  }

  .hero-content p {
    font-size: 1.25rem;
    margin-bottom: 2.5rem;
    line-height: 1.6;
    color: #f0f0f0;
    max-width: 600px;
  }

  /* Buttons */
  .hero-buttons {
    display: flex;
    gap: 1rem;
  }

  .btn {
    padding: 1rem 2.5rem;
    border-radius: 50px;
    text-decoration: none;
    font-weight: 600;
    font-size: 1rem;
    transition: all 0.3s ease;
    text-transform: uppercase;
    letter-spacing: 1px;
  }

  .btn-primary {
    background-color: #d4a373; /* Warm brown/gold */
    color: #2c1810;
    border: 2px solid #d4a373;
  }

  .btn-primary:hover {
    background-color: #faedcd;
    border-color: #faedcd;
    transform: translateY(-2px);
  }

  .btn-secondary {
    background-color: transparent;
    color: #fff;
    border: 2px solid #fff;
  }

  .btn-secondary:hover {
    background-color: #fff;
    color: #2c1810;
    transform: translateY(-2px);
  }

  /* Responsive Design */
  @media (max-width: 768px) {
    .navbar {
      flex-direction: column;
      gap: 1rem;
    }

    .hero-content h1 {
      font-size: 2.5rem;
    }

    .hero-content p {
      font-size: 1rem;
    }

    .hero-buttons {
      flex-direction: column;
      width: 100%;
    }

    .btn {
      width: 100%;
      text-align: center;
    }
  }
</style>",19.592,80,1559,1639,
2026-07-08T12:40:29,minimax/minimax-m2.5,website_generation_easy_08,website_generation,easy,Create a simple pricing section with three cards.,"<section class=""pricing-section"">
  <div class=""pricing-card"">
    <h3 class=""plan-name"">Basic</h3>
    <div class=""price"">$19<span>/mo</span></div>
    <ul class=""features"">
      <li>1 User</li>
      <li>5GB Storage</li>
      <li>Email Support</li>
    </ul>
    <button class=""cta-button"">Get Started</button>
  </div>

  <div class=""pricing-card featured"">
    <h3 class=""plan-name"">Pro</h3>
    <div class=""price"">$49<span>/mo</span></div>
    <ul class=""features"">
      <li>5 Users</li>
      <li>50GB Storage</li>
      <li>Priority Support</li>
      <li>Analytics</li>
    </ul>
    <button class=""cta-button"">Get Started</button>
  </div>

  <div class=""pricing-card"">
    <h3 class=""plan-name"">Enterprise</h3>
    <div class=""price"">$99<span>/mo</span></div>
    <ul class=""features"">
      <li>Unlimited Users</li>
      <li>Unlimited Storage</li>
      <li>24/7 Support</li>
      <li>Custom Integrations</li>
    </ul>
    <button class=""cta-button"">Contact Us</button>
  </div>
</section>

<style>
  .pricing-section {
    display: flex;
    flex-wrap: wrap;
    justify-content: center;
    gap: 2rem;
    padding: 4rem 2rem;
    background-color: #f9fafb;
    font-family: -apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, sans-serif;
  }

  .pricing-card {
    background: white;
    border-radius: 12px;
    padding: 2rem;
    width: 300px;
    box-shadow: 0 4px 6px rgba(0, 0, 0, 0.05);
    border: 1px solid #e5e7eb;
    display: flex;
    flex-direction: column;
    align-items: center;
    text-align: center;
    transition: transform 0.2s ease, box-shadow 0.2s ease;
  }

  .pricing-card:hover {
    transform: translateY(-5px);
    box-shadow: 0 10px 15px rgba(0, 0, 0, 0.1);
  }

  .pricing-card.featured {
    border: 2px solid #3b82f6;
    position: relative;
  }

  .pricing-card.featured::before {
    content: ""Popular"";
    position: absolute;
    top: -12px;
    background: #3b82f6;
    color: white;
    padding: 4px 12px;
    border-radius: 20px;
    font-size: 0.875rem;
    font-weight: 600;
  }

  .plan-name {
    margin: 0 0 1rem;
    font-size: 1.25rem;
    color: #374151;
  }

  .price {
    font-size: 3rem;
    font-weight: 700;
    color: #111827;
    margin-bottom: 1.5rem;
  }

  .price span {
    font-size: 1rem;
    font-weight: 400;
    color: #6b7280;
  }

  .features {
    list-style: none;
    padding: 0;
    margin: 0 0 2rem;
    width: 100%;
  }

  .features li {
    padding: 0.75rem 0;
    border-bottom: 1px solid #f3f4f6;
    color: #4b5563;
  }

  .features li:last-child {
    border-bottom: none;
  }

  .cta-button {
    margin-top: auto;
    width: 100%;
    padding: 0.875rem;
    border: none;
    border-radius: 8px;
    background-color: #3b82f6;
    color: white;
    font-size: 1rem;
    font-weight: 600;
    cursor: pointer;
    transition: background-color 0.2s;
  }

  .cta-button:hover {
    background-color: #2563eb;
  }

  .pricing-card:not(.featured) .cta-button {
    background-color: #1f2937;
  }

  .pricing-card:not(.featured) .cta-button:hover {
    background-color: #111827;
  }

  @media (max-width: 768px) {
    .pricing-section {
      flex-direction: column;
      align-items: center;
    }

    .pricing-card {
      width: 100%;
      max-width: 350px;
    }
  }
</style>",43.252,80,1205,1285,
2026-07-08T12:40:53,minimax/minimax-m2.5,website_generation_easy_09,website_generation,easy,Create a basic about-us section for a local coffee shop.,"<section class=""about-section"">
  <div class=""container"">
    <div class=""about-text"">
      <h2>More Than Just Coffee</h2>
      <p class=""lead"">Established in 2020, The Daily Grind is your neighborhood spot for exceptional brews and genuine connection.</p>
      <p>We believe that great coffee starts at the source. That's why we partner exclusively with sustainable, fair-trade farms to bring you beans that taste good and do good. Every cup is crafted with care by our passionate baristas.</p>
      <p>Whether you need a quiet corner to work or a place to catch up with friends, our doors are always open.</p>
      <div class=""about-features"">
        <div class=""feature"">
          <span class=""icon"">☕</span>
          <span>Locally Roasted</span>
        </div>
        <div class=""feature"">
          <span class=""icon"">🌱</span>
          <span>Organic & Sustainable</span>
        </div>
        <div class=""feature"">
          <span class=""icon"">🥐</span>
          <span>Fresh Pastries</span>
        </div>
      </div>
    </div>
    <div class=""about-image"">
      <img src=""https://images.unsplash.com/photo-1509042239860-f550ce710b93?auto=format&fit=crop&w=800&q=80"" alt=""Coffee shop interior"">
    </div>
  </div>
</section>

<style>
  .about-section {
    padding: 4rem 1.5rem;
    background-color: #fdfbf7;
    font-family: 'Segoe UI', Tahoma, Geneva, Verdana, sans-serif;
    color: #4a4a4a;
  }

  .container {
    max-width: 1100px;
    margin: 0 auto;
    display: flex;
    align-items: center;
    gap: 4rem;
  }

  .about-text {
    flex: 1;
  }

  .about-text h2 {
    font-size: 2.5rem;
    color: #2c241b;
    margin-bottom: 1rem;
    font-weight: 700;
  }

  .lead {
    font-size: 1.25rem;
    color: #5d4e3e;
    margin-bottom: 1.5rem;
    font-weight: 500;
  }

  .about-text p {
    line-height: 1.6;
    margin-bottom: 1rem;
  }

  .about-features {
    display: flex;
    gap: 2rem;
    margin-top: 2rem;
    padding-top: 2rem;
    border-top: 1px solid #e0dcd5;
  }

  .feature {
    display: flex;
    align-items: center;
    gap: 0.5rem;
    font-weight: 600;
    color: #2c241b;
  }

  .icon {
    font-size: 1.5rem;
  }

  .about-image {
    flex: 1;
  }

  .about-image img {
    width: 100%;
    height: auto;
    border-radius: 12px;
    box-shadow: 0 10px 30px rgba(0,0,0,0.1);
    object-fit: cover;
    aspect-ratio: 4/3;
  }

  @media (max-width: 768px) {
    .container {
      flex-direction: column;
      gap: 2rem;
    }

    .about-text h2 {
      font-size: 2rem;
    }

    .about-features {
      flex-direction: column;
      gap: 1rem;
    }
  }
</style>",23.873,83,1391,1474,
2026-07-08T12:42:12,minimax/minimax-m2.5,website_generation_easy_10,website_generation,easy,Create a responsive image gallery layout using HTML and CSS.,"<!DOCTYPE html>
<html lang=""en"">
<head>
    <meta charset=""UTF-8"">
    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
    <title>Responsive Image Gallery</title>
    <style>
        /* Basic Reset */
        * {
            box-sizing: border-box;
            margin: 0;
            padding: 0;
        }

        body {
            font-family: 'Segoe UI', Tahoma, Geneva, Verdana, sans-serif;
            background-color: #f0f2f5;
            padding: 20px;
        }

        h1 {
            text-align: center;
            margin-bottom: 30px;
            color: #333;
        }

        /* Gallery Grid Layout */
        .gallery {
            display: grid;
            /* This creates a responsive grid that fits as many columns as possible
               with a minimum width of 250px per item */
            grid-template-columns: repeat(auto-fit, minmax(250px, 1fr));
            gap: 20px;
            max-width: 1200px;
            margin: 0 auto;
        }

        /* Gallery Item Container */
        .gallery-item {
            position: relative;
            overflow: hidden;
            border-radius: 10px;
            box-shadow: 0 4px 8px rgba(0, 0, 0, 0.1);
            cursor: pointer;
            aspect-ratio: 4/3; /* Enforces consistent aspect ratio */
        }

        /* Image Styling */
        .gallery-item img {
            width: 100%;
            height: 100%;
            object-fit: cover; /* Ensures image covers the area without distortion */
            transition: transform 0.4s ease;
            display: block;
        }

        /* Hover Effect: Zoom */
        .gallery-item:hover img {
            transform: scale(1.1);
        }

        /* Optional: Overlay Text */
        .overlay {
            position: absolute;
            bottom: 0;
            left: 0;
            right: 0;
            background: linear-gradient(to top, rgba(0,0,0,0.7), transparent);
            color: white;
            padding: 20px;
            transform: translateY(100%);
            transition: transform 0.3s ease;
        }

        .gallery-item:hover .overlay {
            transform: translateY(0);
        }

        /* Mobile Adjustment */
        @media (max-width: 600px) {
            .gallery {
                grid-template-columns: 1fr; /* Single column on very small screens */
            }
        }
    </style>
</head>
<body>

    <h1>Photo Gallery</h1>

    <div class=""gallery"">
        <div class=""gallery-item"">
            <img src=""https://picsum.photos/id/1015/600/400"" alt=""River landscape"">
            <div class=""overlay"">River Valley</div>
        </div>
        <div class=""gallery-item"">
            <img src=""https://picsum.photos/id/1016/600/400"" alt=""Canyon"">
            <div class=""overlay"">Canyon View</div>
        </div>
        <div class=""gallery-item"">
            <img src=""https://picsum.photos/id/1018/600/400"" alt=""Mountains"">
            <div class=""overlay"">Mountain Peak</div>
        </div>
        <div class=""gallery-item"">
            <img src=""https://picsum.photos/id/1019/600/400"" alt=""Nature"">
            <div class=""overlay"">Deep Forest</div>
        </div>
        <div class=""gallery-item"">
            <img src=""https://picsum.photos/id/1020/600/400"" alt=""Bear"">
            <div class=""overlay"">Wildlife</div>
        </div>
        <div class=""gallery-item"">
            <img src=""https://picsum.photos/id/1021/600/400"" alt=""Foggy forest"">
            <div class=""overlay"">Morning Fog</div>
        </div>
        <div class=""gallery-item"">
            <img src=""https://picsum.photos/id/1022/600/400"" alt=""Starry night"">
            <div class=""overlay"">Starry Night</div>
        </div>
        <div class=""gallery-item"">
            <img src=""https://picsum.photos/id/1025/600/400"" alt=""Dog"">
            <div class=""overlay"">Man's Best Friend</div>
        </div>
    </div>

</body>
</html>",79.516,82,2230,2312,
