prompt_id,use_case,difficulty,rows,unique_prompts,avg_latency,median_latency,p95_latency,min_latency,max_latency,avg_input_tokens,avg_output_tokens,avg_total_tokens,total_tokens,avg_answer_chars,errors,empty_answers,possible_truncations
customer_support_easy_01,customer_support,easy,6,1,7.2316666666666665,5.9265,14.60875,1.584,15.757,614.1666666666666,291.6666666666667,905.8333333333334,5435,75.5,0,0,1
customer_support_easy_02,customer_support,easy,6,1,5.322666666666667,5.1815,9.822000000000001,0.754,10.012,605.3333333333334,206.66666666666666,812.0,4872,42.5,0,0,0
customer_support_easy_03,customer_support,easy,6,1,7.688166666666667,5.4205,16.82425,1.806,17.991,606.3333333333334,342.6666666666667,949.0,5694,115.83333333333333,0,0,1
customer_support_easy_04,customer_support,easy,6,1,8.499666666666668,7.9094999999999995,15.242,2.7,16.132,606.8333333333334,404.1666666666667,1011.0,6066,248.83333333333334,0,0,1
customer_support_easy_05,customer_support,easy,6,1,6.824333333333333,5.265,13.2145,1.836,13.453,604.3333333333334,300.0,904.3333333333334,5426,170.33333333333334,0,0,1
customer_support_easy_06,customer_support,easy,6,1,6.381666666666667,5.4399999999999995,12.378,1.334,12.454,604.6666666666666,273.6666666666667,878.3333333333334,5270,58.166666666666664,0,0,1
customer_support_easy_07,customer_support,easy,6,1,6.473333333333334,6.194,11.475999999999999,1.526,12.006,606.6666666666666,284.8333333333333,891.5,5349,110.0,0,0,0
customer_support_easy_08,customer_support,easy,6,1,8.837,8.030999999999999,16.85425,2.148,17.944,602.6666666666666,428.6666666666667,1031.3333333333333,6188,198.66666666666666,0,0,2
customer_support_easy_09,customer_support,easy,6,1,6.191666666666666,5.4145,11.716750000000001,1.454,11.791,607.3333333333334,259.0,866.3333333333334,5198,58.5,0,0,0
customer_support_easy_10,customer_support,easy,6,1,10.699833333333332,11.886000000000001,18.52975,1.414,18.646,605.6666666666666,378.3333333333333,984.0,5904,121.5,0,0,2
customer_support_easy_11,customer_support,easy,6,1,5.290166666666667,4.7235000000000005,10.046,1.422,10.442,606.3333333333334,219.5,825.8333333333334,4955,48.833333333333336,0,0,0
customer_support_easy_12,customer_support,easy,6,1,5.255833333333333,4.169,10.8955,1.667,11.941,606.3333333333334,232.33333333333334,838.6666666666666,5032,98.0,0,0,0
customer_support_easy_13,customer_support,easy,6,1,8.456833333333334,7.8865,15.4685,2.266,16.503,606.3333333333334,400.0,1006.3333333333334,6038,264.8333333333333,0,0,1
customer_support_easy_14,customer_support,easy,6,1,5.644333333333333,5.0655,11.163499999999999,1.297,11.875,605.3333333333334,241.16666666666666,846.5,5079,47.0,0,0,1
customer_support_easy_15,customer_support,easy,6,1,6.283166666666666,4.7405,14.61975,1.659,16.861,604.6666666666666,272.0,876.6666666666666,5260,97.0,0,0,1
customer_support_easy_16,customer_support,easy,6,1,7.626166666666666,6.6964999999999995,14.77425,1.498,15.366,605.1666666666666,344.0,949.1666666666666,5695,152.33333333333334,0,0,1
customer_support_easy_17,customer_support,easy,6,1,6.194333333333333,5.3715,11.95075,1.462,12.763,605.6666666666666,257.0,862.6666666666666,5176,68.33333333333333,0,0,1
customer_support_easy_18,customer_support,easy,6,1,5.476999999999999,4.866,10.2655,1.278,10.657,604.3333333333334,215.0,819.3333333333334,4916,108.0,0,0,0
customer_support_easy_19,customer_support,easy,6,1,5.260166666666667,5.116,9.31625,1.495,9.465,605.8333333333334,216.0,821.8333333333334,4931,47.666666666666664,0,0,0
customer_support_easy_20,customer_support,easy,6,1,9.346666666666666,7.0505,20.389499999999998,2.123,22.319,606.3333333333334,468.8333333333333,1075.1666666666667,6451,260.0,0,0,2
customer_support_hard_01,customer_support,hard,6,1,21.935166666666664,21.256,38.941250000000004,6.176,39.618,627.8333333333334,1245.6666666666667,1873.5,11241,352.3333333333333,0,0,4
customer_support_hard_02,customer_support,hard,6,1,21.1855,21.323,32.91825,7.418,33.415,616.8333333333334,1125.5,1742.3333333333333,10454,228.16666666666666,0,0,6
customer_support_hard_03,customer_support,hard,6,1,11.425833333333335,11.4025,20.59525,3.259,21.902,625.3333333333334,565.8333333333334,1191.1666666666667,7147,513.6666666666666,0,0,3
customer_support_hard_04,customer_support,hard,6,1,23.283666666666665,22.4125,44.049,7.402,49.068,627.8333333333334,1221.5,1849.3333333333333,11096,266.6666666666667,0,1,5
customer_support_hard_05,customer_support,hard,6,1,15.026499999999999,11.5155,30.96125,4.054,32.973,620.6666666666666,781.5,1402.1666666666667,8413,507.1666666666667,0,0,3
customer_support_hard_06,customer_support,hard,6,1,17.635,14.1615,31.8575,7.278,33.107,620.8333333333334,908.8333333333334,1529.6666666666667,9178,695.8333333333334,0,0,3
customer_support_hard_07,customer_support,hard,6,1,11.7065,13.5215,16.889499999999998,3.984,17.022,618.3333333333334,555.5,1173.8333333333333,7043,343.0,0,0,3
customer_support_hard_08,customer_support,hard,6,1,24.403666666666666,22.9345,41.11775,8.781,41.581,619.6666666666666,1323.8333333333333,1943.5,11661,477.1666666666667,0,0,6
customer_support_hard_09,customer_support,hard,6,1,11.612499999999999,9.567499999999999,20.9645,3.948,21.181,618.8333333333334,563.8333333333334,1182.6666666666667,7096,364.8333333333333,0,0,2
customer_support_hard_10,customer_support,hard,6,1,15.0845,14.825,26.46425,3.396,26.954,617.6666666666666,837.3333333333334,1455.0,8730,185.5,0,0,4
customer_support_hard_11,customer_support,hard,6,1,21.944,26.8815,37.396249999999995,3.907,39.757,622.6666666666666,1106.5,1729.1666666666667,10375,375.1666666666667,0,0,4
customer_support_hard_12,customer_support,hard,6,1,9.1255,8.7805,16.05325,1.288,16.368,614.8333333333334,443.3333333333333,1058.1666666666667,6349,281.6666666666667,0,0,2
customer_support_hard_13,customer_support,hard,6,1,20.171499999999998,18.6075,37.74225,3.662,38.568,624.8333333333334,1169.6666666666667,1794.5,10767,429.3333333333333,0,0,4
customer_support_hard_14,customer_support,hard,6,1,27.956833333333332,31.774,47.059749999999994,4.812,47.986,627.1666666666666,1445.1666666666667,2072.3333333333335,12434,501.6666666666667,0,0,4
customer_support_hard_15,customer_support,hard,6,1,13.465333333333334,13.3865,24.2185,3.017,25.47,616.3333333333334,706.0,1322.3333333333333,7934,196.16666666666666,0,0,3
