model,use_case,rows,failed_rows,failure_rate,avg_failure_count,high_latency_count,possible_truncations,empty_answers
minimax/minimax-m2.5,customer_support,60,5,0.08333333333333333,0.1,0,4,1
minimax/minimax-m2.5,document_understanding,60,12,0.2,0.2,0,1,0
minimax/minimax-m2.5,website_generation,60,39,0.65,1.3833333333333333,37,28,8
minimax/minimax-m2.7,customer_support,60,4,0.06666666666666667,0.06666666666666667,0,3,0
minimax/minimax-m2.7,document_understanding,60,12,0.2,0.2,0,1,0
minimax/minimax-m2.7,website_generation,60,35,0.5833333333333334,0.9,30,24,0
minimax/minimax-m3,customer_support,60,10,0.16666666666666666,0.18333333333333332,0,10,1
minimax/minimax-m3,document_understanding,60,13,0.21666666666666667,0.21666666666666667,0,2,0
minimax/minimax-m3,website_generation,60,27,0.45,0.5166666666666667,6,25,0
qwen/qwen3.6-plus,customer_support,60,26,0.43333333333333335,0.5833333333333334,9,26,0
qwen/qwen3.6-plus,document_understanding,60,29,0.48333333333333334,0.5666666666666667,5,18,0
qwen/qwen3.6-plus,website_generation,60,60,1.0,1.8333333333333333,60,50,0
qwen/qwen3.7-max,customer_support,60,53,0.8833333333333333,1.0833333333333333,12,53,0
qwen/qwen3.7-max,document_understanding,60,28,0.4666666666666667,0.6333333333333333,6,19,0
qwen/qwen3.7-max,website_generation,60,58,0.9666666666666667,1.7666666666666666,58,48,0
qwen/qwen3.7-plus,customer_support,60,41,0.6833333333333333,0.85,10,41,0
qwen/qwen3.7-plus,document_understanding,60,28,0.4666666666666667,0.6166666666666667,8,17,0
qwen/qwen3.7-plus,website_generation,60,60,1.0,1.8,60,48,0
