row_id,model,prompt_id,use_case,difficulty,correctness,completeness,instruction_following,hallucination_safety,format_quality,overall_quality,judge_model,raw_judge_response
177,minimax/minimax-m2.5,document_understanding_hard_18,document_understanding,hard,5.0,5.0,5.0,5,5.0,10.0,qwen/qwen3.7-max,"{
  ""correctness"": 5,
  ""completeness"": 5,
  ""instruction_following"": 5,
  ""hallucination_safety"": 5,
  ""format_quality"": 5,
  ""overall_quality"": 10
}"
336,minimax/minimax-m2.7,document_understanding_medium_17,document_understanding,medium,5.0,5.0,5.0,5,5.0,10.0,qwen/qwen3.7-max,"{
  ""correctness"": 5,
  ""completeness"": 5,
  ""instruction_following"": 5,
  ""hallucination_safety"": 5,
  ""format_quality"": 5,
  ""overall_quality"": 10
}"
1005,qwen/qwen3.7-plus,customer_support_hard_06,customer_support,hard,5.0,5.0,5.0,5,5.0,10.0,qwen/qwen3.7-max,"{
  ""correctness"": 5,
  ""completeness"": 5,
  ""instruction_following"": 5,
  ""hallucination_safety"": 5,
  ""format_quality"": 5,
  ""overall_quality"": 10
}"
492,minimax/minimax-m3,document_understanding_easy_13,document_understanding,easy,5.0,5.0,5.0,5,5.0,10.0,qwen/qwen3.7-max,"{
  ""correctness"": 5,
  ""completeness"": 5,
  ""instruction_following"": 5,
  ""hallucination_safety"": 5,
  ""format_quality"": 5,
  ""overall_quality"": 10
}"
774,qwen/qwen3.7-max,website_generation_hard_15,website_generation,hard,3.0,1.0,2.0,5,3.0,2.0,qwen/qwen3.7-max,"{
  ""correctness"": 3,
  ""completeness"": 1,
  ""instruction_following"": 2,
  ""hallucination_safety"": 5,
  ""format_quality"": 3,
  ""overall_quality"": 2
}"
174,minimax/minimax-m2.5,document_understanding_hard_15,document_understanding,hard,5.0,5.0,5.0,5,5.0,10.0,qwen/qwen3.7-max,"{
  ""correctness"": 5,
  ""completeness"": 5,
  ""instruction_following"": 5,
  ""hallucination_safety"": 5,
  ""format_quality"": 5,
  ""overall_quality"": 10
}"
13,minimax/minimax-m2.5,website_generation_easy_14,website_generation,easy,5.0,5.0,5.0,5,5.0,10.0,qwen/qwen3.7-max,"{
  ""correctness"": 5,
  ""completeness"": 5,
  ""instruction_following"": 5,
  ""hallucination_safety"": 5,
  ""format_quality"": 5,
  ""overall_quality"": 10
}"
432,minimax/minimax-m3,customer_support_easy_13,customer_support,easy,5.0,5.0,5.0,5,5.0,10.0,qwen/qwen3.7-max,"{
  ""correctness"": 5,
  ""completeness"": 5,
  ""instruction_following"": 5,
  ""hallucination_safety"": 5,
  ""format_quality"": 5,
  ""overall_quality"": 10
}"
585,qwen/qwen3.6-plus,website_generation_hard_06,website_generation,hard,4.0,3.0,4.0,5,4.0,5.0,qwen/qwen3.7-max,"{
  ""correctness"": 4,
  ""completeness"": 3,
  ""instruction_following"": 4,
  ""hallucination_safety"": 5,
  ""format_quality"": 4,
  ""overall_quality"": 5
}"
552,qwen/qwen3.6-plus,website_generation_easy_13,website_generation,easy,5.0,5.0,5.0,5,5.0,10.0,qwen/qwen3.7-max,"{
  ""correctness"": 5,
  ""completeness"": 5,
  ""instruction_following"": 5,
  ""hallucination_safety"": 5,
  ""format_quality"": 5,
  ""overall_quality"": 10
}"
645,qwen/qwen3.6-plus,customer_support_hard_06,customer_support,hard,5.0,5.0,5.0,5,5.0,10.0,qwen/qwen3.7-max,"{
  ""correctness"": 5,
  ""completeness"": 5,
  ""instruction_following"": 5,
  ""hallucination_safety"": 5,
  ""format_quality"": 5,
  ""overall_quality"": 10
}"
1017,qwen/qwen3.7-plus,customer_support_hard_18,customer_support,hard,5.0,5.0,5.0,5,5.0,10.0,qwen/qwen3.7-max,"{
  ""correctness"": 5,
  ""completeness"": 5,
  ""instruction_following"": 5,
  ""hallucination_safety"": 5,
  ""format_quality"": 5,
  ""overall_quality"": 10
}"
477,minimax/minimax-m3,customer_support_hard_18,customer_support,hard,5.0,5.0,5.0,5,5.0,10.0,qwen/qwen3.7-max,"{
  ""correctness"": 5,
  ""completeness"": 5,
  ""instruction_following"": 5,
  ""hallucination_safety"": 5,
  ""format_quality"": 5,
  ""overall_quality"": 10
}"
756,qwen/qwen3.7-max,website_generation_medium_17,website_generation,medium,1.0,1.0,2.0,5,4.0,2.0,qwen/qwen3.7-max,"{
  ""correctness"": 1,
  ""completeness"": 1,
  ""instruction_following"": 2,
  ""hallucination_safety"": 5,
  ""format_quality"": 4,
  ""overall_quality"": 2
}"
