source_file,timestamp,model,prompt_id,use_case,difficulty,question,answer,latency_seconds,input_tokens,output_tokens,total_tokens,error
chat_logs_minimax_m2.5.csv,2026-07-08T15:59:18,minimax/minimax-m2.5,website_generation_easy_01,website_generation,easy,"Create a simple responsive HTML and CSS landing page for a cafe with a hero section, opening hours, and contact section.","<!DOCTYPE html>
<html lang=""en"">
<head>
    <meta charset=""UTF-8"">
    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
    <title>The Daily Grind Cafe</title>
    <style>
        /* Reset & Base Styles */
        * {
            margin: 0;
            padding: 0;
            box-sizing: border-box;
        }

        :root {
            --primary-color: #4e342e;
            --secondary-color: #8d6e63;
            --accent-color: #d7ccc8;
            --text-light: #f5f5f5;
            --text-dark: #333333;
            --bg-light: #fffaf0;
        }

        body {
            font-family: 'Segoe UI', Tahoma, Geneva, Verdana, sans-serif;
            line-height: 1.6;
            color: var(--text-dark);
            background-color: var(--bg-light);
        }

        a {
            text-decoration: none;
            color: inherit;
        }

        ul {
            list-style: none;
        }

        /* Navigation */
        .navbar {
            display: flex;
            justify-content: space-between;
            align-items: center;
            padding: 1rem 5%;
            background-color: var(--primary-color);
            color: var(--text-light);
            position: sticky;
            top: 0;
            z-index: 1000;
        }

        .logo {
            font-size: 1.5rem;
            font-weight: bold;
            letter-spacing: 1px;
        }

        .nav-links {
            display: flex;
            gap: 20px;
        }

        .nav-links a:hover {
            color: var(--accent-color);
            transition: color 0.3s;
        }

        /* Hero Section */
        .hero {
            height: 80vh;
            background: linear-gradient(rgba(0, 0, 0, 0.6), rgba(0, 0, 0, 0.6)), url('https://images.unsplash.com/photo-1509042239860-f550ce710b93?ixlib=rb-1.2.1&auto=format&fit=crop&w=1920&q=80');
            background-size: cover;
            background-position: center;
            display: flex;
            flex-direction: column;
            justify-content: center;
            align-items: center;
            text-align: center;
            color: var(--text-light);
            padding: 0 20px;
        }

        .hero h1 {
            font-size: 3.5rem;
            margin-bottom: 1rem;
        }

        .hero p {
            font-size: 1.2rem;
            margin-bottom: 2rem;
            max-width: 600px;
        }

        .btn {
            padding: 12px 30px;
            background-color: var(--secondary-color);
            color: white;
            border: none;
            border-radius: 5px;
            font-size: 1rem;
            cursor: pointer;
            transition: background 0.3s;
        }

        .btn:hover {
            background-color: var(--accent-color);
            color: var(--text-dark);
        }

        /* Sections General */
        section {
            padding: 4rem 5%;
            text-align: center;
        }

        .section-title {
            font-size: 2.5rem;
            color: var(--primary-color);
            margin-bottom: 2rem;
            position: relative;
            display: inline-block;
        }

        .section-title::after {
            content: '';
            display: block;
            width: 50%;
            height: 3px;
            background-color: var(--secondary-color);
            margin: 10px auto 0;
        }

        /* Opening Hours */
        .hours-container {
            display: flex;
            justify-content: center;
            flex-wrap: wrap;
            gap: 2rem;
        }

        .hours-card {
            background: white;
            padding: 2rem;
            border-radius: 10px;
            box-shadow: 0 4px 6px rgba(0,0,0,0.1);
            min-width: 300px;
            flex: 1;
            max-width: 500px;
        }

        .hours-list li {
            display: flex;
            justify-content: space-between;
            padding: 10px 0;
            border-bottom: 1px solid #eee;
        }

        .hours-list li:last-child {
            border-bottom: none;
        }

        .day {
            font-weight: bold;
            color: var(--primary-color);
        }

        /* Contact Section */
        .contact-container {
            display: flex;
            flex-wrap: wrap;
            justify-content: center;
            gap: 2rem;
            text-align: left;
        }

        .contact-info, .contact-form {
            background: white;
            padding: 2rem;
            border-radius: 10px;
            box-shadow: 0 4px 6px rgba(0,0,0,0.1);
            min-width: 300px;
            flex: 1;
            max-width: 500px;
        }

        .contact-item {
            margin-bottom: 1.5rem;
        }

        .contact-item h3 {
            color: var(--secondary-color);
            margin-bottom: 0.5rem;
        }

        /* Footer */
        footer {
            background-color: var(--primary-color);
            color: var(--text-light);
            text-align: center;
            padding: 1.5rem;
            margin-top: auto;
        }

        /* Responsive Design */
        @media (max-width: 768px) {
            .hero h1 {
                font-size: 2.5rem;
            }
            
            .navbar {
                flex-direction: column;
                gap: 1rem;
            }

            .nav-links {
                gap: 15px;
                font-size: 0.9rem;
            }
        }
    </style>
</head>
<body>

    <!-- Navigation -->
    <nav class=""navbar"">
        <div class=""logo"">The Daily Grind</div>
        <ul class=""nav-links"">
            <li><a href=""#hero"">Home</a></li>
            <li><a href=""#hours"">Hours</a></li>
            <li><a href=""#contact"">Contact</a></li>
        </ul>
    </nav>

    <!-- Hero Section -->
    <header id=""hero"" class=""hero"">
        <h1>Welcome to The Daily Grind</h1>
        <p>Artisan coffee, fresh pastries, and a cozy atmosphere waiting for you.</p>
        <a href=""#contact"" class=""btn"">Visit Us Today</a>
    </header>

    <!-- Opening Hours Section -->
    <section id=""hours"">
        <h2 class=""section-title"">Opening Hours</h2>
        <div class=""hours-container"">
            <div class=""hours-card"">
                <ul class=""hours-list"">
                    <li>
                        <span class=""day"">Monday</span>
                        <span>7:00 AM - 6:00 PM</span>
                    </li>
                    <li>
                        <span class=""day"">Tuesday</span>
                        <span>7:00 AM - 6:00 PM</span>
                    </li>
                    <li>
                        <span class=""day"">Wednesday</span>
                        <span>7:00 AM - 6:00 PM</span>
                    </li>
                    <li>
                        <span class=""day"">Thursday</span>
                        <span>7:00 AM - 6:00 PM</span>
                    </li>
                    <li>
                        <span class=""day"">Friday</span>
                        <span>7:00 AM - 9:00 PM</span>
                    </li>
                    <li>
                        <span class=""day"">Saturday</span>
                        <span>8:00 AM - 9:00 PM</span>
                    </li>
                    <li>
                        <span class=""day"">Sunday</span>
                        <span>8:00 AM - 4:00 PM</span>
                    </li>
                </ul>
            </div>
        </div>
    </section>

    <!-- Contact Section -->
    <section id=""contact"">
        <h2 class=""section-title"">Contact Us</h2>
        <div class=""contact-container"">
            <div class=""contact-info"">
                <div class=""contact-item"">
                    <h3>Address</h3>
                    <p>123 Coffee Bean Lane<br>Espresso City, EC 90210</p>
                </div>
                <div class=""contact-item"">
                    <h3>Phone</h3>
                    <p>(555) 123-4567</p>
                </div>
                <div class=""contact-item"">
                    <h3>Email</h3>
                    <p>hello@dailygrindcafe.com</p>
                </div>
            </div>
            <div class=""contact-form"">
                <h3>Send us a message</h3>
                <form>
                    <input type=""text"" placeholder=""Your Name"" style=""width: 100%; padding: 10px; margin-bottom: 10px; border: 1px solid #ccc; border-radius: 4px;"">
                    <input type=""email"" placeholder=""Your Email"" style=""width: 100%; padding: 10px; margin-bottom: 10px; border: 1px solid #ccc; border-radius: 4px;"">
                    <textarea placeholder=""Message"" rows=""4"" style=""width: 100%; padding: 10px; margin-bottom: 10px; border: 1px solid #ccc; border-radius: 4px;""></textarea>
                    <button type=""submit"" class=""btn"" style=""width: 100%;"">Send Message</button>
                </form>
            </div>
        </div>
    </section>

    <!-- Footer -->
    <footer>
        <p>&copy; 2023 The Daily Grind Cafe. All rights reserved.</p>
    </footer>

</body>
</html>",45.754,95,2602,2697,
chat_logs_minimax_m2.5.csv,2026-07-08T16:01:32,minimax/minimax-m2.5,website_generation_easy_02,website_generation,easy,Create a responsive navigation bar using HTML and CSS.,None,126.266,81,3000,3081,
chat_logs_minimax_m2.5.csv,2026-07-08T16:02:48,minimax/minimax-m2.5,website_generation_medium_02,website_generation,medium,"Create a React component for a product card with image placeholder, title, description, price, and button.",None,68.294,92,3000,3092,
chat_logs_minimax_m2.5.csv,2026-07-08T16:03:39,minimax/minimax-m2.5,website_generation_medium_05,website_generation,medium,Create a React component for a cafe menu preview with three categories and product cards.,None,42.346,87,3000,3087,
chat_logs_minimax_m2.5.csv,2026-07-08T16:04:13,minimax/minimax-m2.5,website_generation_medium_09,website_generation,medium,Create a React component for customer reviews with three review cards.,None,26.601,83,3000,3083,
chat_logs_minimax_m2.5.csv,2026-07-08T16:04:55,minimax/minimax-m2.5,website_generation_medium_12,website_generation,medium,Create a React component for a menu category section that receives items as an array.,None,33.561,87,3000,3087,
chat_logs_minimax_m2.5.csv,2026-07-08T16:05:28,minimax/minimax-m2.5,website_generation_medium_16,website_generation,medium,"Create a React component for an order summary card with subtotal, delivery fee, and total.","import React from 'react';

const OrderSummary = ({ subtotal = 0, deliveryFee = 0, currency = '$' }) => {
  const total = Number(subtotal) + Number(deliveryFee);

  return (
    <div style={{ backgroundColor: '#fff', padding: '24px', borderRadius: '8px', boxShadow: '0 4px 6px rgba(0,0,0,0.1)', border: '1px solid #e5e7eb', maxWidth: '400px', width: '100%' }}>
      <h2 style={{ fontSize: '1.25rem', fontWeight: '600', marginBottom: '16px', color: '#111827' }}>Order Summary</h2>
      
      <div style={{ display: 'flex', flexDirection: 'column', gap: '12px' }}>
        <div style={{ display: 'flex', justifyContent: 'space-between', color: '#4b5563' }}>
          <span>Subtotal</span>
          <span>{currency}{subtotal.toFixed(2)}</span>
        </div>
        
        <div style={{ display: 'flex', justifyContent: 'space-between', color: '#4b5563' }}>
          <span>Delivery Fee</span>
          <span>{currency}{deliveryFee.toFixed(2)}</span>
        </div>
        
        <div style={{ borderTop: '1px solid #e5e7eb', margin: '8px 0' }}></div>
        
        <div style={{ display: 'flex', justifyContent: 'space-between', fontSize: '1.125rem', fontWeight: '700', color: '#111827' }}>
          <span>Total</span>
          <span>{currency}{total.toFixed(2)}</span>
        </div>
      </div>

      <button style={{ marginTop: '24px', width: '100%', backgroundColor: '#2563eb', color: '#fff', fontWeight: '500', padding: '12px', borderRadius: '6px', border: 'none', cursor: 'pointer', transition: 'background-color 0.2s' }}>
        Proceed to Checkout
      </button>
    </div>
  );
};

export default OrderSummary;",25.266,90,1247,1337,
chat_logs_minimax_m2.5.csv,2026-07-08T16:06:22,minimax/minimax-m2.5,website_generation_medium_17,website_generation,medium,Create a responsive staff/team section for a local restaurant.,"<!DOCTYPE html>
<html lang=""en"">
<head>
    <meta charset=""UTF-8"">
    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
    <title>Restaurant Team</title>
    <style>
        /* General Reset */
        * {
            margin: 0;
            padding: 0;
            box-sizing: border-box;
        }

        body {
            font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif;
            line-height: 1.6;
            color: #333;
        }

        /* Section Styling */
        .team-section {
            padding: 80px 20px;
            background-color: #fdfbf7; /* Warm off-white */
        }

        .container {
            max-width: 1200px;
            margin: 0 auto;
        }

        .section-header {
            text-align: center;
            margin-bottom: 60px;
        }

        .section-header h2 {
            font-size: 2.5rem;
            color: #2c3e50;
            margin-bottom: 10px;
            font-weight: 300;
            text-transform: uppercase;
            letter-spacing: 2px;
        }

        .section-header .divider {
            height: 3px;
            width: 60px;
            background-color: #d4a373; /* Accent color */
            margin: 0 auto 20px;
        }

        .section-header p {
            color: #666;
            font-size: 1.1rem;
            max-width: 600px;
            margin: 0 auto;
        }

        /* Grid Layout */
        .team-grid {
            display: grid;
            grid-template-columns: repeat(auto-fit, minmax(280px, 1fr));
            gap: 30px;
        }

        /* Card Styling */
        .team-card {
            background: #fff;
            border-radius: 8px;
            overflow: hidden;
            box-shadow: 0 5px 15px rgba(0,0,0,0.05);
            transition: transform 0.3s ease, box-shadow 0.3s ease;
            text-align: center;
        }

        .team-card:hover {
            transform: translateY(-10px);
            box-shadow: 0 15px 30px rgba(0,0,0,0.1);
        }

        .image-wrapper {
            height: 300px;
            overflow: hidden;
            position: relative;
        }

        .image-wrapper img {
            width: 100%;
            height: 100%;
            object-fit: cover;
            transition: transform 0.5s ease;
        }

        .team-card:hover .image-wrapper img {
            transform: scale(1.1);
        }

        .team-info {
            padding: 25px;
        }

        .team-name {
            font-size: 1.4rem;
            color: #2c3e50;
            margin-bottom: 5px;
            font-weight: 600;
        }

        .team-role {
            color: #d4a373;
            font-size: 0.9rem;
            text-transform: uppercase;
            letter-spacing: 1px;
            font-weight: 700;
            margin-bottom: 15px;
            display: block;
        }

        .team-bio {
            font-size: 0.95rem;
            color: #777;
            margin-bottom: 20px;
        }

        /* Social Icons (Optional) */
        .social-links {
            display: flex;
            justify-content: center;
            gap: 15px;
        }

        .social-links a {
            color: #ccc;
            text-decoration: none;
            font-size: 1.2rem;
            transition: color 0.3s;
        }

        .social-links a:hover {
            color: #d4a373;
        }

        /* Responsive Adjustments */
        @media (max-width: 768px) {
            .section-header h2 {
                font-size: 2rem;
            }
            
            .team-section {
                padding: 60px 20px;
            }
        }
    </style>
</head>
<body>

<section class=""team-section"">
    <div class=""container"">
        <div class=""section-header"">
            <h2>Our Culinary Team</h2>
            <div class=""divider""></div>
            <p>Meet the passionate people dedicated to bringing you an unforgettable dining experience.</p>
        </div>

        <div class=""team-grid"">
            <!-- Team Member 1 -->
            <div class=""team-card"">
                <div class=""image-wrapper"">
                    <img src=""https://images.unsplash.com/photo-1583394838336-acd977736f90?ixlib=rb-1.2.1&auto=format&fit=crop&w=800&q=80"" alt=""Chef Marco"">
                </div>
                <div class=""team-info"">
                    <h3 class=""team-name"">Marco Rossi</h3>
                    <span class=""team-role"">Head Chef</span>
                    <p class=""team-bio"">With 20 years of experience in Tuscany, Marco brings authentic Italian flavors to your table.</p>
                    <div class=""social-links"">
                        <a href=""#"">&#9734;</a> <!-- Placeholder for icon -->
                        <a href=""#"">&#9734;</a>
                    </div>
                </div>
            </div>

            <!-- Team Member 2 -->
            <div class=""team-card"">
                <div class=""image-wrapper"">
                    <img src=""https://images.unsplash.com/photo-1580489944761-15a19d654956?ixlib=rb-1.2.1&auto=format&fit=crop&w=800&q=80"" alt=""Chef Elena"">
                </div>
                <div class=""team-info"">
                    <h3 class=""team-name"">Elena Chen</h3>
                    <span class=""team-role"">Sous Chef</span>
                    <p class=""team-bio"">Elena specializes in fusion cuisine, blending Asian techniques with classic European dishes.</p>
                    <div class=""social-links"">
                        <a href=""#"">&#9734;</a>
                        <a href=""#"">&#9734;</a>
                    </div>
                </div>
            </div>

            <!-- Team Member 3 -->
            <div class=""team-card"">
                <div class=""image-wrapper"">
                    <img src=""https://images.unsplash.com/photo-1560250097-0b93528c311a?ixlib=rb-1.2.1&auto=format&fit=crop&w=800&q=80"" alt=""Manager James"">
                </div>
                <div class=""team-info"">
                    <h3 class=""team-name"">James Miller</h3>
                    <span class=""team-role"">Restaurant Manager</span>
                    <p class=""team-bio"">James ensures every guest feels at home with his impeccable service and attention to detail.</p>
                    <div class=""social-links"">
                        <a href=""#"">&#9734;</a>
                        <a href=""#"">&#9734;</a>
                    </div>
                </div>
            </div>

            <!-- Team Member 4 -->
            <div class=""team-card"">
                <div class=""image-wrapper"">
                    <img src=""https://images.unsplash.com/photo-1577219491135-ce391730fb2c?ixlib=rb-1.2.1&auto=format&fit=crop&w=800&q=80"" alt=""Sommelier Sarah"">
                </div>
                <div class=""team-info"">
                    <h3 class=""team-name"">Sarah Jenkins</h3>
                    <span class=""team-role"">Head Sommelier</span>
                    <p class=""team-bio"">Curating the perfect wine pairings to complement our menu and elevate your evening.</p>
                    <div class=""social-links"">
                        <a href=""#"">&#9734;</a>
                        <a href=""#"">&#9734;</a>
                    </div>
                </div>
            </div>
        </div>
    </div>
</section>

</body>
</html>",46.083,83,2560,2643,
chat_logs_minimax_m2.5.csv,2026-07-08T16:07:02,minimax/minimax-m2.5,website_generation_hard_01,website_generation,hard,"Create a responsive React landing page for a cafe with reusable components: Header, Hero, MenuPreview, OpeningHours, and Footer.",None,31.897,97,3000,3097,
chat_logs_minimax_m2.5.csv,2026-07-08T16:07:50,minimax/minimax-m2.5,website_generation_hard_04,website_generation,hard,"Create a React page for an online food shop with product grid, category filters, and cart summary UI.",None,40.382,92,3000,3092,
